# plot-scripts/compare.sh processed/clients.dat "Varying Client Count" "Number of clients"
# clients, packets, std(packets), messages, std(messages), response time, std(response time), confidence, relative confidence, simulated packet, simulated response time
8 268 10 99 5 3702590 2129121 602 10705076
16 544 17 202 8 3658373 2007081 1204 10705165
32 1096 43 408 18 3660666 3206625 2392 10795153
48 1516 168 562 66 5695409 12156461 2791 14616905
64 1972 162 731 63 6514148 12189331 2792 20343359
96 2555 262 944 101 11086258 16449610 2792 31805067
128 2328 339 842 144 24870411 20484056 2792 43266756
160 2363 406 835 179 33469680 26484588 2792 54728444
192 2361 449 808 207 41648119 33782363 2792 66190133
224 2164 525 682 258 53801744 49463939 2792 77651822
