# plot-scripts/compare.sh processed/workers+db.dat "Varying Number of Worker Threads and Database Connections" "Number of worker threads and database connections"
# con/workers, throughput, std(throughput), response, std(response), confidence, confidence2, simulated throughput, simulated response time
2 746 31 265 11 90592096 14398854 248 360075000
4 1335 80 493 30 40921917 15108708 496 178747500
8 2049 178 773 69 19220084 17223979 993 88083750
12 2406 224 908 86 12767555 15188143 1489 57862500
16 2490 247 935 95 11085778 15908599 1787 47788750
20 2504 259 935 100 10677744 15843483 2234 37715000
24 2488 257 925 100 10348983 15121429 2680 30999167
28 2451 236 907 90 10667325 15933936 2792 29656000
32 2441 221 902 86 10633162 15150183 2792 29656000
64 2335 222 855 92 11579518 15362012 2792 29656000
128 2322 233 850 96 11742695 17634038 2792 29656000
